"ID2009","Candidate","State","Constituency_No2009","Position2009","Sex","Party2009","Constituency_Name2009","Vote_Share_Percentage2009","Margin_Percentage2009","ReNominated","ID2014","Candidate2014","Constituency_No2014","Position2014","Party2014","Constituency_Name2014","Vote_Share_Percentage2014","Margin_Percentage2014","PostGraduate","CriminalCase","Moveable","Immoveable"
702,"VISHNU DEO SAI","Chhattisgarh",2,1,"M","BJP","RAIGARH",47.44,5.97,1,702,"VISHNU DEO SAI",2,1,"BJP","RAIGARH",53.16,17.39,0,0,1045000,1350000
702,"HRIDAYARAM RATHIYA","Chhattisgarh",2,2,"M","INC","RAIGARH",41.47,37.42,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1400500,429000
703,"SHRIMATI KAMLA DEVI PATLE","Chhattisgarh",3,1,"F","BJP","JANJGIR-CHAMPA",40.96,11.82,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,686336,1
703,"DR.SHIVKUMAR DAHARIYA","Chhattisgarh",3,2,"M","INC","JANJGIR-CHAMPA",29.14,5.28,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
703,"DAURAM RATNAKAR","Chhattisgarh",3,3,"M","BSP","JANJGIR-CHAMPA",23.86,21.78,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1070000,6924100
704,"CHARAN DAS MAHANT","Chhattisgarh",4,1,"M","INC","KORBA",42.2,2.78,1,704,"CHARAN DAS MAHANT",4,2,"INC","KORBA",41.3,36.29,0,0,NA,NA
704,"KARUNA SHUKLA","Chhattisgarh",4,2,"F","BJP","KORBA",39.41,34.99,1,705,"KARUNA SHUKLA",5,2,"INC","BILASPUR",35.3,32.89,1,0,2362173,5094000
705,"DILIP SINGH JUDEV","Chhattisgarh",5,1,"M","BJP","BILASPUR",45.18,2.62,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,9096224,15400000
705,"DR.RENU JOGI","Chhattisgarh",5,2,"F","INC","BILASPUR",42.57,39.96,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2591783,44800000
706,"MADHUSUDAN YADAV","Chhattisgarh",6,1,"M","BJP","RAJNANDGAON",52.7,14.34,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1199106,NA
706,"DEVWRAT SINGH","Chhattisgarh",6,2,"M","INC","RAJNANDGAON",38.36,35.96,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
